epoch,step,train_acc,train_loss,val_acc,val_loss
0,937,,,0.9543339014053345,0.14190833270549774
0,937,0.922667384147644,0.25525736808776855,,
1,1875,,,0.9563804864883423,0.129121795296669
1,1875,0.9664185047149658,0.10915528237819672,,
2,2813,,,0.9680281281471252,0.09704692661762238
2,2813,0.9768078923225403,0.07591832429170609,,
3,3751,,,0.9650951027870178,0.11700693517923355
3,3751,0.983411967754364,0.054003290832042694,,
4,4689,,,0.9740872979164124,0.09493214637041092
4,4689,0.9850620031356812,0.04667624458670616,,
5,5627,,,0.9741440415382385,0.10353869944810867
5,5627,0.987700343132019,0.03670387715101242,,
6,6565,,,0.9683929681777954,0.12612088024616241
6,6565,0.9892352223396301,0.033573515713214874,,
7,7503,,,0.9757603406906128,0.09750907123088837
7,7503,0.9903897643089294,0.02805483713746071,,
8,8441,,,0.9737599492073059,0.12127482891082764
8,8441,0.9912951588630676,0.02573639154434204,,
