epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,937,,,,0.9642940163612366,0.11243616044521332
0,937,,0.9461860060691833,0.18098001182079315,,
1,1875,,,,0.9766049981117249,0.06974676251411438
1,1875,,0.9781820774078369,0.07534639537334442,,
2,2813,,,,0.980141818523407,0.05984526872634888
2,2813,,0.9835313558578491,0.055940885096788406,,
3,3751,,,,0.9804223775863647,0.05899723619222641
3,3751,,0.9874635934829712,0.04416431486606598,,
4,4689,,,,0.9805464148521423,0.060818012803792953
4,4689,,0.9898408651351929,0.035758983343839645,,
5,5627,,,,0.9802590012550354,0.06439480185508728
5,5627,,0.9926896691322327,0.029031159356236458,,
6,6565,,,,0.9801830053329468,0.06759286671876907
6,6565,,0.9944590330123901,0.023371705785393715,,
7,7503,,,,0.979759931564331,0.07100910693407059
7,7503,,0.9955868721008301,0.018665285781025887,,
8,8441,,,,0.9797586798667908,0.07638207823038101
8,8441,,0.9967116713523865,0.01490282453596592,,
9,9379,,,,0.9788596630096436,0.08562680333852768
9,9379,,0.9973587393760681,0.011987610720098019,,
10,10317,,,,0.9778271317481995,0.08888264745473862
10,10317,,0.9969940185546875,0.011444851756095886,,
11,11255,,,,0.9787310361862183,0.09114459156990051
11,11255,,0.997463047504425,0.009589015506207943,,
12,12193,,,,0.9792609214782715,0.09574541449546814
12,12193,,0.9978190660476685,0.007872918620705605,,
13,13131,,,,0.978615403175354,0.09927350282669067
13,13131,,0.9984349608421326,0.00621920358389616,,
14,14069,,,,0.9792604446411133,0.09662662446498871
14,14069,,0.9986057281494141,0.005823644809424877,,
15,15007,,,,0.9816393852233887,0.08881724625825882
15,15007,,0.9987565875053406,0.004869058262556791,,
16,15945,,,,0.9801855683326721,0.09560371935367584
16,15945,,0.9982263445854187,0.005477961618453264,,
17,16883,,,,0.9795370101928711,0.1008460596203804
17,16883,,0.9983425140380859,0.005166393704712391,,
18,17821,,,,0.979360818862915,0.0996699184179306
18,17821,,0.9989185333251953,0.0035090832971036434,,
19,18759,,,,0.980063259601593,0.09889961779117584
19,18759,,0.9990790486335754,0.0031721435952931643,,
20,18760,0.980063259601593,,,,
